start_tick,end_tick,seconds,target,node_count,nodes_considered,predicted_ticks,path_geometry,travel,endpoint_distance,travel_to_endpoint_ratio,unfinished
9696,9716,1.0,"[1136, 65, 125]",4,4,10.691375623663577,3.0,2.863087600682446,2.214979288969523,1.2926024251966903,
9728,9729,0.05,"[1135, 65, 125]",2,83,40.63284531978863,1.4142135623730951,0.0,0.0,,
9730,9733,0.15,"[1135, 65, 125]",2,2,3.5637918745545254,1.0,0.3243599643953565,0.4319000474518206,,
9748,9749,0.05,"[1133, 65, 125]",2,2,3.5637918745545254,1.0,0.0,0.0,,
9754,9758,0.2,"[1133, 65, 125]",2,2,3.5637918745545254,1.0,0.5593008630496913,0.6875783410670722,,
9764,9765,0.05,"[1134, 64, 125]",3,26,19.34218677960293,2.414213562373095,0.03253394357700508,0.01776353525640115,,
9766,9768,0.1,"[1134, 64, 125]",2,2,3.5637918745545254,1.0,0.14237506948361187,0.20511737976785938,,
9772,9774,0.1,"[1134, 64, 125]",2,2,3.5637918745545254,1.0,0.13735321784445176,0.20239481027657805,,
9774,9789,0.75,"[1134, 64, 125]",3,26,19.34218677960293,2.414213562373095,1.2855964654172949,1.0823714224519403,1.1877590619539646,
9826,9833,0.35,"[1132, 64, 125]",2,2,6.63284688441047,1.4142135623730951,1.4828315974899722,1.2151993156927268,1.2202373539394902,
9836,9839,0.15,"[1132, 64, 125]",5,64,32.542696045996976,6.99070478491457,0.3348149089321275,0.409220568310073,,
9840,9841,0.05,"[1132, 64, 125]",5,64,32.542696045996976,6.99070478491457,0.1840579694697056,0.1004956630033098,,
9842,9873,1.55,"[1132, 64, 125]",5,64,27.50273324352693,6.99070478491457,6.943124563482539,3.639333094955963,1.9078013422584374,
9877,9946,3.45,"[1130, 64, 125]",12,401,55.90644344327011,13.899494936611665,14.771936615380833,4.695790673741017,3.1457826044048094,
9950,9981,1.55,"[1130, 64, 125]",6,214,54.39099985478043,6.242640687119286,4.844594854420488,3.764596480053961,1.286882905004216,
9991,9992,0.05,"[1130, 67, 126]",3,38,25.69478478574062,2.414213562373095,0.0,0.0,,
10002,10018,0.8,"[1130, 67, 126]",3,38,25.69478478574062,2.414213562373095,3.184239448770094,2.01384408780635,1.581174763255202,
10059,10066,0.35,"[1130, 68, 126]",2,9,18.53138753764188,1.0,0.14489245078320775,0.1643712658621652,,
10069,10094,1.25,"[1130, 68, 126]",3,193,55.445093849769975,2.0,0.9168644958710886,0.8220327254283502,,
10100,10106,0.3,"[1130, 67, 125]",2,13,19.06193790133015,1.0,0.5178805511482963,0.762003097353077,,
10117,10121,0.2,"[1130, 67, 125]",3,4,12.88479347272072,2.414213562373095,0.4302313288211592,0.5289062452248885,,
10121,10153,1.6,"[1130, 67, 125]",4,26,27.502733243526933,5.576491222541475,6.861415956932654,4.09544122766779,1.6753789336735252,
